date,reservation count,defects,year,month,day
1/1/2018,49,0,2018,Jan,1
1/2/2018,73,0,2018,Jan,2
1/3/2018,85,0,2018,Jan,3
1/4/2018,1,0,2018,Jan,4
1/5/2018,32,0,2018,Jan,5
1/6/2018,53,0,2018,Jan,6
1/7/2018,47,0,2018,Jan,7
1/8/2018,39,2,2018,Jan,8
1/9/2018,42,2,2018,Jan,9
1/10/2018,35,0,2018,Jan,10
1/11/2018,40,0,2018,Jan,11
1/12/2018,0,0,2018,Jan,12
1/13/2018,135,4,2018,Jan,13
1/14/2018,120,2,2018,Jan,14
1/15/2018,58,0,2018,Jan,15
1/16/2018,29,0,2018,Jan,16
1/17/2018,18,0,2018,Jan,17
1/18/2018,12,0,2018,Jan,18
1/19/2018,72,2,2018,Jan,19
1/20/2018,0,0,2018,Jan,20
1/21/2018,0,0,2018,Jan,21
1/22/2018,31,0,2018,Jan,22
1/23/2018,9,0,2018,Jan,23
1/24/2018,27,0,2018,Jan,24
1/25/2018,18,0,2018,Jan,25
1/26/2018,52,0,2018,Jan,26
1/27/2018,125,4,2018,Jan,27
1/28/2018,48,0,2018,Jan,28
1/29/2018,38,0,2018,Jan,29
1/30/2018,30,2,2018,Jan,30
1/31/2018,20,0,2018,Jan,31
2/1/2018,34,0,2018,Feb,1
2/2/2018,49,0,2018,Feb,2
2/3/2018,102,0,2018,Feb,3
2/4/2018,39,4,2018,Feb,4
2/5/2018,24,0,2018,Feb,5
2/6/2018,29,2,2018,Feb,6
2/7/2018,9,0,2018,Feb,7
2/8/2018,29,0,2018,Feb,8
2/9/2018,48,0,2018,Feb,9
2/10/2018,85,4,2018,Feb,10
2/11/2018,39,2,2018,Feb,11
2/12/2018,29,0,2018,Feb,12
2/13/2018,28,0,2018,Feb,13
2/14/2018,47,0,2018,Feb,14
2/15/2018,34,0,2018,Feb,15
2/16/2018,97,0,2018,Feb,16
2/17/2018,115,2,2018,Feb,17
2/18/2018,97,0,2018,Feb,18
2/19/2018,88,0,2018,Feb,19
2/20/2018,63,0,2018,Feb,20
2/21/2018,67,0,2018,Feb,21
2/22/2018,51,0,2018,Feb,22
2/23/2018,69,0,2018,Feb,23
2/24/2018,92,2,2018,Feb,24
2/25/2018,59,0,2018,Feb,25
2/26/2018,59,0,2018,Feb,26
2/27/2018,51,0,2018,Feb,27
2/28/2018,51,0,2018,Feb,28
3/1/2018,50,0,2018,Mar,1
3/2/2018,17,0,2018,Mar,2
3/3/2018,101,4,2018,Mar,3
3/4/2018,107,0,2018,Mar,4
3/5/2018,68,2,2018,Mar,5
3/6/2018,75,0,2018,Mar,6
3/7/2018,0,0,2018,Mar,7
